backend,graph,op,side,elements,dtype,in_mem,out_mem,layout,sharded,cores,fidelity,seq,flops,iters,ms_min,ms_med,ms_mean,ms_p90,error
silicon,dtype_exp,exp,1,1024,bf16,dram,dram,tile,0,,,,,8,0.1117,0.1355,0.201,0.6339,
silicon,dtype_exp,exp,2,4096,bf16,dram,dram,tile,0,,,,,8,0.1075,0.1117,0.1127,0.1249,
silicon,dtype_exp,exp,4,16384,bf16,dram,dram,tile,0,,,,,8,0.1078,0.1105,0.1324,0.2729,
silicon,dtype_exp,exp,8,65536,bf16,dram,dram,tile,0,,,,,8,0.1093,0.1234,0.1233,0.1372,
silicon,dtype_exp,exp,16,262144,bf16,dram,dram,tile,0,,,,,8,0.1097,0.1246,0.1239,0.1391,
silicon,dtype_exp,exp,32,1048576,bf16,dram,dram,tile,0,,,,,8,0.1173,0.1474,0.1396,0.1533,
silicon,dtype_exp,exp,1,1024,bf8_b,dram,dram,tile,0,,,,,8,0.1103,0.1233,0.1211,0.1277,
silicon,dtype_exp,exp,2,4096,bf8_b,dram,dram,tile,0,,,,,8,0.1101,0.1152,0.1149,0.1183,
silicon,dtype_exp,exp,4,16384,bf8_b,dram,dram,tile,0,,,,,8,0.1089,0.1128,0.1146,0.1272,
silicon,dtype_exp,exp,8,65536,bf8_b,dram,dram,tile,0,,,,,8,0.1103,0.1129,0.1145,0.1287,
silicon,dtype_exp,exp,16,262144,bf8_b,dram,dram,tile,0,,,,,8,0.1097,0.1145,0.1143,0.1192,
silicon,dtype_exp,exp,32,1048576,bf8_b,dram,dram,tile,0,,,,,8,0.1107,0.1157,0.1162,0.1244,
