backend,op,dtype,total_elements,num_tiles,samples,median_ms,min_ms,mean_ms,std_ms
emule-wormhole,gelu,bfloat16,2048,2,1,100.818285,100.818285,100.818285,0.0
emule-wormhole,gelu,bfloat16,3072,3,1,112.068176,112.068176,112.068176,0.0
emule-wormhole,gelu,bfloat16,4096,4,1,123.689884,123.689884,123.689884,0.0
emule-wormhole,gelu,bfloat16,5120,5,1,121.031259,121.031259,121.031259,0.0
emule-wormhole,gelu,bfloat16,6144,6,2,170.897421,92.71609,170.897421,78.181331
emule-wormhole,gelu,bfloat16,7168,7,2,115.63395349999999,103.66506,115.63395349999999,11.9688935
emule-wormhole,gelu,bfloat16,8192,8,1,214.778703,214.778703,214.778703,0.0
emule-wormhole,gelu,bfloat16,12288,12,2,84.6231785,74.271738,84.6231785,10.351440500000002
emule-wormhole,gelu,bfloat16,14336,14,2,109.9675795,89.624125,109.9675795,20.3434545
emule-wormhole,gelu,bfloat16,15360,15,2,128.8283715,113.935359,128.8283715,14.893012499999998
emule-wormhole,gelu,bfloat16,16384,16,1,127.294572,127.294572,127.294572,0.0
emule-wormhole,gelu,bfloat16,18432,18,1,58.033013,58.033013,58.033013,0.0
emule-wormhole,gelu,bfloat16,20480,20,4,110.5237815,64.092731,107.23993075,29.525419263008214
emule-wormhole,gelu,bfloat16,21504,21,1,136.831123,136.831123,136.831123,0.0
emule-wormhole,gelu,bfloat16,24576,24,3,112.233938,82.526222,108.505311,19.865370067771153
emule-wormhole,gelu,bfloat16,30720,30,2,138.78956349999999,127.52312,138.78956349999999,11.266443499999994
emule-wormhole,gelu,bfloat16,35840,35,2,103.5609005,88.906149,103.5609005,14.654751500000003
emule-wormhole,gelu,bfloat16,36864,36,1,73.866475,73.866475,73.866475,0.0
emule-wormhole,gelu,bfloat16,43008,42,1,68.411498,68.411498,68.411498,0.0
emule-wormhole,gelu,bfloat16,46080,45,1,169.949351,169.949351,169.949351,0.0
emule-wormhole,gelu,bfloat16,57344,56,1,108.290277,108.290277,108.290277,0.0
emule-wormhole,gelu,bfloat16,61440,60,1,181.967941,181.967941,181.967941,0.0
emule-wormhole,gelu,bfloat16,86016,84,1,1659.797593,1659.797593,1659.797593,0.0
emule-wormhole,gelu,bfloat16,107520,105,1,210.922312,210.922312,210.922312,0.0
emule-wormhole,gelu,bfloat16,110592,108,2,175.353315,115.874212,175.353315,59.479102999999995
emule-wormhole,gelu,bfloat16,122880,120,1,123.084416,123.084416,123.084416,0.0
emule-wormhole,gelu,bfloat16,129024,126,1,213.553435,213.553435,213.553435,0.0
emule-wormhole,gelu,bfloat16,143360,140,1,114.879069,114.879069,114.879069,0.0
emule-wormhole,gelu,bfloat16,165888,162,1,89.116791,89.116791,89.116791,0.0
emule-wormhole,gelu,bfloat16,245760,240,1,180.95213,180.95213,180.95213,0.0
emule-wormhole,gelu,bfloat16,256000,250,1,86.50073,86.50073,86.50073,0.0
emule-wormhole,gelu,bfloat16,258048,252,1,57.254871,57.254871,57.254871,0.0
emule-wormhole,gelu,bfloat16,286720,280,1,57.982967,57.982967,57.982967,0.0
emule-wormhole,gelu,bfloat16,294912,288,1,137.086223,137.086223,137.086223,0.0
emule-wormhole,gelu,bfloat16,322560,315,1,124.077818,124.077818,124.077818,0.0
emule-wormhole,gelu,bfloat16,337920,330,1,66.671482,66.671482,66.671482,0.0
emule-wormhole,gelu,bfloat16,368640,360,1,167.936019,167.936019,167.936019,0.0
emule-wormhole,gelu,bfloat16,491520,480,1,115.82023,115.82023,115.82023,0.0
emule-wormhole,gelu,bfloat16,516096,504,1,60.810919,60.810919,60.810919,0.0
emule-wormhole,gelu,bfloat16,1146880,1120,1,85.360542,85.360542,85.360542,0.0
emule-wormhole,gelu,bfloat16,1161216,1134,1,49.634842,49.634842,49.634842,0.0
emule-wormhole,gelu,bfloat16,2408448,2352,1,96.473312,96.473312,96.473312,0.0
